tri_facility_id,facility_name,street_address,city_name,county_name,state_county_fips_code,state_abbr,zip_code,region,fac_closed_ind,mail_name,mail_street_address,mail_city,mail_state_abbr,mail_province,mail_country,mail_zip_code,asgn_federal_ind,asgn_agency,frs_id,parent_co_db_num,parent_co_name,fac_latitude,fac_longitude,pref_latitude,pref_longitude,pref_accuracy,pref_collect_meth,pref_desc_category,pref_horizontal_datum,pref_source_scale,pref_qa_code,asgn_partial_ind,asgn_public_contact,asgn_public_phone,asgn_public_contact_email,bia_code,standardized_parent_company,asgn_public_phone_ext,epa_registry_id,asgn_technical_contact,asgn_technical_phone,asgn_technical_phone_ext,mail,asgn_technical_contact_email,foreign_parent_co_name,foreign_parent_co_db_num,standardized_foreign_parent_company
70001BRDNNA1751,BORDEN INC. DAIRY DIV.,A1751 AIRLINE HWY.,METAIRIE,JEFFERSON PARISH,22051,LA,70001,6,0,BORDEN INC. DAIRY DIV.,A1751 AIRLINE HWY.,METAIRIE,LA,,,70001,C,,,001338797,BORDEN INC,295908.0,901008.0,29.985556,90.168889,11000.0,UN,UN,1,U,1000,0,ROBERT W. GRIFFIN,5048335511.0,,,,,110063920878.0,,,,,,,,
70001DLTPT3011L,SAFETY-KLEEN SYSTEMS - METAIRIE,3000 AIRLINE DR,METAIRIE,JEFFERSON PARISH,22051,LA,70001,6,0,SAFETY-KLEEN SYSTEMS - METAIRIE,2600 NORTH CENTRAL EXPRESSWAY,RICHARDSON,TX,,,75080,C,,,157793639,CLEAN HARBORS INC,295824.0,900914.0,29.973333,90.153889,150.0,UN,UN,1,U,1010,0,GREG VAN STECHELMAN,9412018176.0,GVANSTECHELMAN@RSUSEDOIL.COM,,CLEAN HARBORS INC,,110000448588.0,,,,,,,,
70001LFRGN332AI,HOLCIM - SOR INC. - AIRLINE RMX,3320 AIRLINE DR,METAIRIE,JEFFERSON PARISH,22051,LA,70001,6,0,HOLCIM - SOR INC. - AIRLINE RMX,3320 AIRLINE DRIVE,METAIRIE,LA,,,70001,C,,,081260273,HOLCIM PARTICIPATIONS (US) INC,295827.0,900906.0,,,,,,,,,0,RILEY KIRBY,4692608561.0,RILEY.HEWSTON@HOLCIM.COM,,HOLCIM PARTICIPATIONS (US) INC,,110003267946.0,,,,,,HOLCIM LTD.,NA,
70003BRTMR721AI,BARTO MARBLE CO INC,7021 AIRLINE DR,METAIRIE,JEFFERSON PARISH,22051,LA,70003,6,0,BARTO MARBLE CO INC,7021 AIRLINE DR,METAIRIE,LA,,,70003,C,,,NA,BARTO MARBLE CO INC,295839.0,901240.0,,,,,,,,,0,JACK BENTON,8067839944.0,JACK@BENTONCONSULTANTS.COM,,,,110020901041.0,,,,,,,,
7000WBRDWL6825A,BOARDWALK LOUISIANA MIDSTREAM LLC,60825-A HIGHWAY 1148 W,PLAQUEMINE,IBERVILLE PARISH,22047,LA,70764,6,0,BOARDWALK LOUISIANA MIDSTREAM LLC,60825-A HIGHWAY 1148 W,PLAQUEMINE,LA,,,70764,C,,,131827888,BOARDWALK PIPELINES LP,,,,,,,,,,,0,WESLEY MALONE,7134798145.0,WESLEY.MALONE@BWPIPELINES.COM,,BOARDWALK PIPELINES LP,,,,,,,,NA,,
7000WHSFRF4545H,HOUSE OF RAEFORD FARMS OF LOUISIANA LLC - SIMSBORO POULTY FE,4545 HIGHWAY 563,SIMSBORO,LINCOLN PARISH,22061,LA,71275,6,0,HOUSE OF RAEFORD FARMS OF LOUISIANA LLC - SIMSBORO POULTY FE,4545 HIGHWAY 563,SIMSBORO,LA,,,71275,C,,,003199346,HOUSE OF RAEFORD,,,,,,,,,,,0,BRIAN MILLER,3187682052.0,BRIAN.MILLER@HOUSEOFRAEFORD.COM,,HOUSE OF RAEFORD,,,,,,,,NA,,
7000WTCPNN155LP,ETC PENNTEX LLC- MOUNT OLIVE GAS PLANT,155 LP & L RD.,RUSTON,LINCOLN PARISH,22061,LA,71268,6,0,ETC PENNTEX LLC- MOUNT OLIVE GAS PLANT,8111 WESTCHESTER DR SUITE 600,DALLAS,TX,,,75225,C,,,610792264,ENERGY TRANSFER PARTNERS LP,,,,,,,,,,,0,GARY WARFORD,3183716563.0,GARY.WARFORD@ENERGYTRANSFER.COM,,ENERGY TRANSFER PARTNERS LP,,,,,,,,NA,,
7000WYCMTH6856L,KOCH METHANOL ST. JAMES LLC,6856 LA HWY 3127,SAINT JAMES,ST. JAMES PARISH,22093,LA,70086,6,0,KOCH METHANOL ST. JAMES LLC,5181 WILDCAT STREET,ST. JAMES,LA,,,70086,C,,,006944334,KOCH INDUSTRIES INC,,,,,,,,,,,0,JOSH WIGGINS,7138298742.0,JOSH.WIGGINS@KOCHIND.COM,,KOCH INDUSTRIES INC,,,,,,,,NA,,
70032MSTRS7417N,TATE & LYLE NORTH AMERICAN SUGARS INC.,7417 N. PETERS ST.,ARABI,ST. BERNARD PARISH,22087,LA,700321598,6,0,TATE & LYLE NORTH AMERICAN SUGARS INC.,7417 N. PETERS ST.,ARABI,LA,,,70032-1598,C,,,NA,TATE & LYLE PLC,295653.0,895954.0,29.943333,90.000556,20.0,UN,UN,1,U,1010,0,,,,,,,110009575762.0,,,,,,,,
70037CHGKP1610E,CMP COATINGS INC.,1610 ENGINEERS RD,BELLE CHASSE,PLAQUEMINES PARISH,22075,LA,70037,6,0,CMP COATINGS INC.,1610 ENGINEERS RD,BELLE CHASSE,LA,,,70037,C,,,556437317,CHUGOKU AMERICA HOLDINGS INC,295111.0,900135.0,29.853056,90.026389,150.0,UN,UN,1,U,1010,0,KEVIN CASEY,5043924817.0,KCASEY@CMPUSA.COM,,CHUGOKU AMERICA HOLDINGS INC,,110000448604.0,,,,,,NA,,
