tri_facility_id,facility_name,street_address,city_name,county_name,state_county_fips_code,state_abbr,zip_code,region,fac_closed_ind,mail_name,mail_street_address,mail_city,mail_state_abbr,mail_province,mail_country,mail_zip_code,asgn_federal_ind,asgn_agency,frs_id,parent_co_db_num,parent_co_name,fac_latitude,fac_longitude,pref_latitude,pref_longitude,pref_accuracy,pref_collect_meth,pref_desc_category,pref_horizontal_datum,pref_source_scale,pref_qa_code,asgn_partial_ind,asgn_public_contact,asgn_public_phone,asgn_public_contact_email,bia_code,standardized_parent_company,asgn_public_phone_ext,epa_registry_id,asgn_technical_contact,asgn_technical_phone,asgn_technical_phone_ext,mail,asgn_technical_contact_email,foreign_parent_co_name,foreign_parent_co_db_num,standardized_foreign_parent_company
70001BRDNNA1751,BORDEN INC. DAIRY DIV.,A1751 AIRLINE HWY.,METAIRIE,JEFFERSON PARISH,22051,LA,70001,6,0,BORDEN INC. DAIRY DIV.,A1751 AIRLINE HWY.,METAIRIE,LA,,,70001,C,,,1338797,BORDEN INC,295908,901008,29.985556,90.168889,11000,UN,UN,1,U,1000,0,ROBERT W. GRIFFIN,5048335511,,,,,1.10064E+11,,,,,,,,
70001DLTPT3011L,SAFETY-KLEEN SYSTEMS - METAIRIE,3000 AIRLINE DR,METAIRIE,JEFFERSON PARISH,22051,LA,70001,6,0,SAFETY-KLEEN SYSTEMS - METAIRIE,2600 NORTH CENTRAL EXPRESSWAY,RICHARDSON,TX,,,75080,C,,,157793639,CLEAN HARBORS INC,295824,900914,29.973333,90.153889,150,UN,UN,1,U,1010,0,GREG VAN STECHELMAN,9412018176,GVANSTECHELMAN@RSUSEDOIL.COM,,CLEAN HARBORS INC,,1.1E+11,,,,,,,,
70001LFRGN332AI,HOLCIM - SOR INC. - AIRLINE RMX,3320 AIRLINE DR,METAIRIE,JEFFERSON PARISH,22051,LA,70001,6,0,HOLCIM - SOR INC. - AIRLINE RMX,3320 AIRLINE DRIVE,METAIRIE,LA,,,70001,C,,,81260273,HOLCIM PARTICIPATIONS (US) INC,295827,900906,,,,,,,,,0,RILEY KIRBY,4692608561,RILEY.HEWSTON@HOLCIM.COM,,HOLCIM PARTICIPATIONS (US) INC,,1.10003E+11,,,,,,HOLCIM LTD.,NA,
70003BRTMR721AI,BARTO MARBLE CO INC,7021 AIRLINE DR,METAIRIE,JEFFERSON PARISH,22051,LA,70003,6,0,BARTO MARBLE CO INC,7021 AIRLINE DR,METAIRIE,LA,,,70003,C,,,NA,BARTO MARBLE CO INC,295839,901240,,,,,,,,,0,JACK BENTON,8067839944,JACK@BENTONCONSULTANTS.COM,,,,1.10021E+11,,,,,,,,
7000WBRDWL6825A,BOARDWALK LOUISIANA MIDSTREAM LLC,60825-A HIGHWAY 1148 W,PLAQUEMINE,IBERVILLE PARISH,22047,LA,70764,6,0,BOARDWALK LOUISIANA MIDSTREAM LLC,60825-A HIGHWAY 1148 W,PLAQUEMINE,LA,,,70764,C,,,131827888,BOARDWALK PIPELINES LP,,,,,,,,,,,0,WESLEY MALONE,7134798145,WESLEY.MALONE@BWPIPELINES.COM,,BOARDWALK PIPELINES LP,,,,,,,,NA,,
7000WYCMTH6856L,KOCH METHANOL ST. JAMES LLC,6856 LA HWY 3127,SAINT JAMES,ST. JAMES PARISH,22093,LA,70086,6,0,KOCH METHANOL ST. JAMES LLC,5181 WILDCAT STREET,ST. JAMES,LA,,,70086,C,,,6944334,KOCH INDUSTRIES INC,,,,,,,,,,,0,JOSH WIGGINS,7138298742,JOSH.WIGGINS@KOCHIND.COM,,KOCH INDUSTRIES INC,,,,,,,,NA,,
70032MSTRS7417N,TATE & LYLE NORTH AMERICAN SUGARS INC.,7417 N. PETERS ST.,ARABI,ST. BERNARD PARISH,22087,LA,700321598,6,0,TATE & LYLE NORTH AMERICAN SUGARS INC.,7417 N. PETERS ST.,ARABI,LA,,,70032-1598,C,,,NA,TATE & LYLE PLC,295653,895954,29.943333,90.000556,20,UN,UN,1,U,1010,0,,,,,,,1.1001E+11,,,,,,,,
70037CHGKP1610E,CMP COATINGS INC.,1610 ENGINEERS RD,BELLE CHASSE,PLAQUEMINES PARISH,22075,LA,70037,6,0,CMP COATINGS INC.,1610 ENGINEERS RD,BELLE CHASSE,LA,,,70037,C,,,556437317,CHUGOKU AMERICA HOLDINGS INC,295111,900135,29.853056,90.026389,150,UN,UN,1,U,1010,0,KEVIN CASEY,5043924817,KCASEY@CMPUSA.COM,,CHUGOKU AMERICA HOLDINGS INC,,1.1E+11,,,,,,NA,,
70037CHVRNHIGHW,CHEVRON ORONITE CO LLC - OAK POINT PLANT,10285 HIGHWAY 23,BELLE CHASSE,PLAQUEMINES PARISH,22075,LA,70037,6,0,,,,,,,,C,,,1382555,CHEVRON CORP,0,0,29.8,90.008333,50,UN,UN,1,U,1010,0,EMILIO VESS,5043916120,EMILIOVESS@CHEVRON.COM,,CHEVRON CORP,,1.10001E+11,,,,,,NA,,
70037HBSNG2402E,HOBSON GALVANIZING INC,2402 ENGINEERS RD,BELLE CHASSE,PLAQUEMINES PARISH,22075,LA,70037,6,0,HOBSON GALVANIZING INC,2402 ENGINEERS RD,BELLE CHASSE,LA,,,70037,C,,,8012148,AZZ INC,295200,900200,29.866667,90.033333,11000,UN,UN,1,U,1000,0,JASON PENCE,8178100095,JASONPENCE@AZZGALV.COM,,AZZ INC,,1.1E+11,,,,,,,,
70037KNCLN2805E,KENCOIL INC,2805 ENGINEERS RD,BELLE CHASSE,PLAQUEMINES PARISH,22075,LA,70037,6,0,KENCOIL INC,2805 ENGINEERS RD,BELLE CHASSE,LA,,,70037,C,,,,NA,294905,900201,,,,,,,,,0,FRANK DIVINCENTI,5043944010,FDIVINCENTI@KENCOIL.COM,,NA,,1.1E+11,,,,,,,,
70037LFRGN65ENG,LAFARGE NORTH AMERICAN INC ENGINEER RD RMX,605 ENGINEERS RD,BELLE CHASSE,PLAQUEMINES PARISH,22075,LA,70037,6,0,ROBERT EATON,12735 MORRIS RD EXT SUITE 300,ALPHARETTA,GA,,,30004,C,,,67568246,LAFARGE NORTH AMERICA,295200,900053,,,,,,,,,0,MEGHAN MCDONALD,3036574148,MEGHAN.MCDONALD@LAFARGE-NA.COM,,,,1.10023E+11,,,,,,,,
70037LLNCRHIGHW,HARVEST LOUISIANA TERMINALS LLC - ALLIANCE TERMINAL,15551 HIGHWAY 23,BELLE CHASSE,PLAQUEMINES PARISH,22075,LA,70037,6,0,HARVEST LOUISIANA TERMINALS LLC - ALLIANCE TERMINAL,15551 HIGHWAY 23,BELLE CHASSE,LA,,,70037,C,,,624331489,HARVEST MIDSTREAM CO,0,0,29.68,89.9761,80,I1,FC,1,E,1000,0,KEVIN DUTCHER,8327651672,KDUTCHER@HARVESTMIDSTREAM.COM,,,,1.10064E+11,,,,,,NA,,
70037PRDCT1402B,JOTUN PAINTS INC,9203 HWY 23,BELLE CHASSE,PLAQUEMINES PARISH,22075,LA,70037,6,1,JOTUN PAINTS INC,9203 HWY 23,BELLE CHASSE,LA,,,70037,C,,,,NA,0,0,29.836111,89.997778,500,UN,UN,1,U,1010,0,CAROLINA LOZADA,7138608241,CAROLINA.LOZADA@JOTUN.COM,,NA,,1.10012E+11,,,,,,,,
70037WSGSS111BU,IWS GAS & SUPPLY,111 BURAS DR,BELLE CHASSE,PLAQUEMINES PARISH,22075,LA,70037,6,0,,,,,,,,C,,,,NA,,,,,,,,,,,0,DAVID DUPUY,5042201166,DAVE.DUPUY@RAYMONDMARTIN.COM,,NA,,1.10044E+11,,,,,,NA,,
7003WCCMRN71ENG,C&C MARINE & REPAIR L.L.C.,701 ENGINEERS RD,BELLE CHASSE,PLAQUEMINES PARISH,22075,LA,70037,6,0,C&C MARINE & REPAIR L.L.C.,P.O. BOX 259,HARVEY,LA,,,70059,C,,,,NA,,,,,,,,,,,0,GARRETT MELTON,5044332000,GARRETT.MELTON@CCMREPAIR.COM,,NA,,1.1001E+11,,,,,,,,
7003WJHNWS217CN,JOHN W STONE OIL DISTRIBUTORS LLC,2017 CONCORD RD,BELLE CHASSE,PLAQUEMINES PARISH,22075,LA,70037,6,0,JOHN W STONE OIL DISTRIBUTORS LLC,2017 CONCORD RD,BELLE CHASSE,LA,,,70037,C,,,,NA,,,,,,,,,,,0,MITCHELL WAITS,9852098791,MWAITS@STONEOIL.COM,,NA,,,,,,,,NA,,
7003WSNDRL53MAI,SUN DRILLING PRODUCTS CORP,503 MAIN STREET,BELLE CHASSE,PLAQUEMINES PARISH,22075,LA,70037,6,0,SUN DRILLING PRODUCTS CORP,503 MAIN STREET,BELLE CHASSE,LA,,,70037,C,,,65471112,SUN DRILLING PRODUCTS CORP,,,,,,,,,,,0,KRISTINA VAN HAAGEN,5043932778,KVANHAAGEN@SUNDRILLING.COM,,SUN DRILLING PRODUCTS CORP,,1.10001E+11,,,,,,NA,,
70040LVTNG900ST,ELEVATING BOATS INC,900 ST BERNARD PKWY,BRAITHWAITE,PLAQUEMINES PARISH,22075,LA,70040,6,0,ELEVATING BOATS INC,900 ST BERNARD PKWY,BRAITHWAITE,LA,,,70040,C,,,NA,NA,295144,895424,29.862222,89.906667,20,UN,UN,1,U,1010,0,NETTIE DEAN,5046825245,,,,,1.10001E+11,,,,,,,,
